key_norm,key_type,raw_value,source
alexandre nickel,title,alexandre nickel,OBRAS/FONOGRAMAS/Eligible
alfabeto selvagem,title,alfabeto selvagem,OBRAS/FONOGRAMAS/Eligible
algo errado,title,algo errado,OBRAS/FONOGRAMAS/Eligible
algodao,title,algodao,OBRAS/FONOGRAMAS/Eligible
algodao (instrumental),title,algodao (instrumental),OBRAS/FONOGRAMAS/Eligible
algodao interludio,title,algodao interludio,OBRAS/FONOGRAMAS/Eligible
alguem acenda essas luzes por mim,title,alguem acenda essas luzes por mim,OBRAS/FONOGRAMAS/Eligible
alguem no ceu,title,alguem no ceu,OBRAS/FONOGRAMAS/Eligible
alguem tem isqueiro?,title,alguem tem isqueiro?,OBRAS/FONOGRAMAS/Eligible
alguem tem isqueiro? 2,title,alguem tem isqueiro? 2,OBRAS/FONOGRAMAS/Eligible
