provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Verdade,Karinah,VERDADE,T-302.003.913-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Banho De Espuma,Elenco,BANHO DE ESPUMA,T-311.604.310-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,America,Elenco,AMERICA,T-039.497.748-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Aurora,Elenco,AURORA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,America,Elenco,AMERICA,T-039.497.748-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Copacabana,Salome Da Bahia,COPACABANA,,title_only
